Date,Open,High,Low,Close,Volumne
7/15/2010 10:46:00 AM,344.69,348.8,336,338.53,4672000
7/15/2010 10:44:00 AM,344.54,345.05,340.11,343.32,7283800
7/15/2010 10:42:00 AM,337.98,352.33,336.31,348.67,7691400
7/15/2010 10:40:00 AM,326.45,333.87,324.27,331.48,4927300
7/15/2010 10:38:00 AM,324.85,328,320.56,323.87,4610700
7/15/2010 10:36:00 AM,309.27,331.96,304.22,324.7,10732800
7/15/2010 10:34:00 AM,298.04,309.35,295.15,306.5,8267000
7/15/2010 10:32:00 AM,288.35,303.5,288.35,303.08,4924500
7/15/2010 10:30:00 AM,299.14,299.5,282.75,282.75,5048200
7/15/2010 10:28:00 AM,305.02,308.25,295.7,299.67,5224400
7/15/2010 10:26:00 AM,297.57,303.58,286.79,298.99,5934500
7/15/2010 10:24:00 AM,310,313.8,297.75,300.97,5467900
7/15/2010 10:22:00 AM,311.77,320.6,310.39,314.32,4432500
7/15/2010 10:20:00 AM,316.31,318.95,310.23,312.69,3304300
7/15/2010 10:18:00 AM,327.5,327.5,313.4,315.07,4340500
7/15/2010 10:16:00 AM,318.28,325.19,317.34,325.19,3600700
7/15/2010 10:14:00 AM,328.32,330.91,318.75,322.01,4494500
7/15/2010 10:12:00 AM,332.98,340.8,326.39,334.06,6425200
7/15/2010 10:10:00 AM,321,331.24,315,328.05,4889000
7/15/2010 10:08:00 AM,308.6,321.82,305.5,321.32,3610500
7/15/2010 10:06:00 AM,304.2,311,302.61,307.65,2886800
7/15/2010 10:04:00 AM,300.8,306.81,298.71,303.11,3843500
7/15/2010 10:02:00 AM,300.22,301.38,291.58,297.42,3701900
7/15/2010 10:00:00 AM,304.07,305.26,298.31,300.36,1959100
7/15/2010 9:58:00 AM,301.48,306.34,298.38,302.95,1921500
